,WORD,,,★,TYPE,😠,💩,🐸,🤡,👩🏼,🐷,👳🏽,✊🏻,☝🏽,?
,,,EN,0-4,,HATE,SHIT,SCUM,FOOL,SLUT,FUCK,GOOK,HEIL,HELL,AMBG
,,,jew,0,NOUN,,,,,,,TRUE,,TRUE,FALSE
,,,jews,0,NOUN,,,,,,,TRUE,,TRUE,FALSE
,,,black,0,ADJ,,,,,,,TRUE,,,FALSE
,,,blacks,0,NOUN,,,,,,,TRUE,,,FALSE
,,,nigger,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,,niggers,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,,jewish,0,ADJ,,,,,,,TRUE,,TRUE,FALSE
,,,fuck,2,VERB,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,,,fucks,2,VERB,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,,,shit,2,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,shits,2,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,fucking,2,ADJ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,kill,0,VERB,TRUE,,,,,,,,,FALSE
,,,kills,0,VERB,TRUE,,,,,,,,,FALSE
,,,christian,0,ADJ,,,,,,,,FALSE,TRUE,FALSE
,,,muslim,0,ADJ,,,,,,,,,TRUE,FALSE
,,,israel,0,NOUN,,,,,,,,TRUE,TRUE,FALSE
,,,attack,0,NOUN,TRUE,,,,,,,,,FALSE
,,,god,0,NOUN,,,,,,,,,TRUE,FALSE
,,,nation,0,NOUN,,,,,,,,TRUE,,FALSE
,,,fight,0,NOUN,TRUE,,,,,,,,,FALSE
,,,kike,4,NOUN,,,,,,,TRUE,,TRUE,FALSE
,,,kikes,4,NOUN,,,,,,,TRUE,,TRUE,FALSE
,,,rape,0,VERB,TRUE,,,,,TRUE,,,,FALSE
,,,die,2,VERB,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,dies,2,VERB,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,gun,0,NOUN,TRUE,,,,,,,,,FALSE
,,,communist,1,ADJ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,,,murder,0,NOUN,TRUE,,,,,,,,,FALSE
,,,kid,1,NOUN,,,,TRUE,,,,,,FALSE
,,,liberal,1,ADJ,,,,,,,,TRUE,,FALSE
,,,crime,0,NOUN,TRUE,,,,,,,,,FALSE
,,,crimes,0,NOUN,TRUE,,,,,,,,,FALSE
,,,destroy,0,VERB,TRUE,,,,,,,,,FALSE
,,,racist,2,ADJ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,,illegal,1,ADJ,,,TRUE,,,,,TRUE,,FALSE
,,,african,0,ADJ,,,,,,,TRUE,,,FALSE
,,,hitler,1,NOUN,,,TRUE,,,,,TRUE,,FALSE
,,,german,0,ADJ,,,,,,,TRUE,FALSE,,FALSE
,,,death,0,NOUN,TRUE,,,,,,,FALSE,,FALSE
,,,enemy,2,NOUN,TRUE,,,,,,,TRUE,,FALSE
,,,european,0,ADJ,,,,,,,TRUE,,,FALSE
,,,faggot,4,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,faggots,4,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,leftist,2,ADJ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,,,nazi,2,NOUN,,,,,,,,TRUE,,FALSE
,,,nazis,2,NOUN,,,,,,,,TRUE,,FALSE
,,,cuck,3,NOUN,,,,,,,,TRUE,,FALSE
