WORD,★,TYPE,😠,💩,🐸,🤡,👩🏼,🐷,👳🏽,✊🏻,☝🏽,?
EN,0-4,,HATE,SHIT,SCUM,FOOL,SLUT,FUCK,GOOK,HEIL,HELL,AMBG
faggots,4,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
blind,0,ADJ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
burn,1,VERB,TRUE,,,,,,,,,FALSE
negro,4,NOUN,,,,,,,TRUE,,,FALSE
crimes,0,NOUN,TRUE,,,,,,,,,FALSE
pussy,2,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
angry,1,ADJ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
murder,0,NOUN,TRUE,,,,,,,,,FALSE
brit,0,NOUN,,,,,,,TRUE,,,FALSE
sluts,4,NOUN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
terrorism,1,NOUN,TRUE,,,,,,,,,FALSE
wolf,0,NOUN,TRUE,,TRUE,,,,,,,FALSE
native,1,ADJ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
witch,2,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
refugee,1,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
shill,2,NOUN,,,,,,,,TRUE,,FALSE
mad,2,ADJ,,,,TRUE,,,,,,FALSE
poverty,0,NOUN,TRUE,,,,,,,,,FALSE
commy,2,NOUN,,,,,,,,TRUE,,FALSE
nobody,2,NOUN,,,TRUE,,,,,,,FALSE
faggot,4,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
propaganda,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
murderer,2,NOUN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
fuck,2,VERB,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
feminism,0,NOUN,,,,,TRUE,,,,,FALSE
dies,2,VERB,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
slaughter,2,VERB,TRUE,,TRUE,,,,,,,FALSE
cuck,3,NOUN,,,,,,,,TRUE,,FALSE
goddamn,2,ADJ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
chinese,0,ADJ,,,,,,,TRUE,,,FALSE
retards,3,NOUN,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
blow,0,VERB,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
minority,1,NOUN,TRUE,,TRUE,,,,,,,FALSE
bs,3,NOUN,,TRUE,,,,,,,,FALSE
bullshit,2,NOUN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
degeneracy,2,NOUN,FALSE,,TRUE,,,,,,,FALSE
assault,0,NOUN,TRUE,,,,,,,,,FALSE
suicide,0,NOUN,TRUE,,,,,,,,,FALSE
corruption,0,NOUN,TRUE,,,,,,,,,FALSE
slave,2,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
liberal,1,ADJ,,,,,,,,TRUE,,FALSE
liar,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
shitskin,4,NOUN,,,,,,,TRUE,,,FALSE
israeli,0,ADJ,,,,,,,,TRUE,TRUE,FALSE
cancer,2,NOUN,,,TRUE,,,,,,,FALSE
africa,0,NOUN,,,,,,,TRUE,,,FALSE
