id,type,text
1524,T,"
Il y a encore un BO ici?"
1527,R,"
Non."
1528,R,"
Test"
1529,R,"
Oui."
1530,R,"
>>1529
Il est ou?"
1531,R,"
>>1530
Je déconne :^)
Born and raised a newfie (newfoundland) so never learned to speak french well tbh, was just lurking this board so don't know much about whats happening, désolé mon ami."
1534,R,"
>>1531
No problem."
1572,R,"
>>1524
Toujours vivant ?
Toujours debout ?"
1502,T,"
LE 18-25 PLANTE SON DRAPEAU.
LA SECTION FR DE 8ch.net EST DÉSORMAIS ANNEXÉ ET ADMINISTRÉ PAR L'ÉLITE DE LA NATION.
Vous pouvez de nouveau goûtez à la tendre, chère et si fragile liberté d'expression, faites vous plaisir :noel:"
1503,R,"
Et c'est partit pour la dance ! https://www.youtube.com/watch?v=KMTRqAgLw04"
1504,R,"
:)"
1505,R,"
LA meilleure alternative au forum"
1509,R,"
Dos compagneros, ça commence bien mes kheys !"
1510,R,"
VRAIMENT PAS DE CHANCE
Le topic a une nouvelle fois été supprimé, je compte sur vous les kheys pour répandre la bonne parole sur le 18-25. Honnêtement il y a un moyen de faire quelque chose de GRAND avec cette board"
1515,R,"
Y'a personne"
1519,R,"
Du moment que c'est pas le 15-18."
1532,R,"
>>1502
Vas-y dégage de mon jardin et retourne sur ta planche aux couleurs hideuses de ton site de dégénérés >>>/1825/"
1548,R,"
Bienvenue ? Ou voulez vous qu'ont place votre petit groupuscule de personne inconnue ? Nous n'avons plus d'enclos disponible"
1558,R,>Ce sentiment quand tu es déjà trop vieux
1404,T,"
Hi french people!
Is it true that not shaving is seen as okay for women in your country?"
1405,R,"
No, it is not."
697,T,La /fr/ance s'ennuie.
700,R,Il n'aide pas de plaindre.
705,R,>>697Y'a personne c'est dingue.
706,R,"Rolled 49Il suffit de trouver des sujets à discuter, par exemple; quel jeux vidéos vous intéresse pour l'année 2015 ? J'ai toujours espoir que Level 5 sorte un Dark cloud 3 et je me demande ce que va donner Dragon Quest Heroes.Pour les mango, j'ai lu Boku no Hero Academia et j'aime bien, ça n'étonnera pas notre ami américain si je dis que j’apprécie la gamine grenouille même si j’attends de voir la fourmis en action. Hero of the Shield est captivant aussi, surtout si on lit le livre.Pourquoi il ne neige toujours pas alors qu'on est le 27 décembre hein ?"
708,R,>>706loool tu regardes encore des anime? moi j'aimais bien naruto et 1 piece qd j'avais 15 ans mais bon après faut arrêterles jeux vidéo bah tant qu'y a cs on se plaint pas
1492,T,"
Nos baguettes sont là pour vous servir.
https://discord.gg/KHSArcx"
1493,R,"
Euh, il faut réhabiliter Mugabe."
1494,R,"
>>1492>un discord pour une planche morte
?"
1495,R,"
une planche vierge pour un discord naissant."
1497,R,"
Warte, ich schlucke mein Sperma und antworte dir."
1516,R,"
>>1497
zubi"
1565,R,"
>>1494
je suis mort pour un discord de planche"
1566,R,"
quelqu'un a le lien du serveur rdv gare du nord"
1571,R,"
>>1566>Paris"
1196,T,"
oh ho! madammesselle
https://freech.net/
hyjhjui"
1238,R,"
>>1196
J'vois pas le rapport avec la gueuze"
458,T,"Bonjour tout, il y a quelqu'un qui voudrais jouer avec moi? Je lis le français bien mais je veux cela parce que je veux apprendre comment on parle bien cette langage.Ajoute-moi sur steam:gottie101je joue au cs:go et dota 2"
460,R,"Il faudrait que des québéquois de répondent, on n'a pas les serveurs NA ici…"
461,R,>>460ouaisje voulais dire ca…désolémais je peux jouer quand meme aux serveurs euro sans probleme
495,R,oktu vas adorer mon pseudo d'une finesse fulgurante
511,R,>>495j'attende nègre
533,R,>>511Règle n°1 : Le terme Nègre ne s'utilise que en Anglais .
537,R,>>533Mais as-tu réfléchi qu'il puisse parler de son rédacteur dactylographié pour sa prochaine œuvre littéraire majeure?
544,R,>>511steam te trouve pasajoute donc:There Is No Cure 4 C4Nc3R
1552,T,"
Coucou les gens"
1553,R,"
Re."
1554,R,"
Tiens, je savais pas qu'il y avait une section fr ici.
Le gars sur ton image c'était pas un chanteur de boys band qu'est mort y'a une quinzaine d'année ?"
1556,R,"
>>1554
tu vis dans quelle genre de grotte?"
1517,T,"
fronce was forged by manlet hands aha xDddd"
1518,R,
1249,T,"
postez bande de salopes"
1250,R,"
>>1249
Non"
1251,R,"
>>1250
tu penses quoi de berlusconi?"
1254,R,"
Ceci n'est pas un poste."
1255,R,"
>>1251
Un pauvre diable"
1260,R,"
>>1254
ça donne quoi arte du côté allemand?"
1261,R,"
>>1255
dubs of truth"
1271,R,"
>>1260
Quoi?"
1274,R,"
>>1271
est-ce que arte c'est bien vu en allemagne?"
1276,R,"
>>1274
Pas tellement, mais ça cromble un créneau.
Son part de marché est moins grand qu'en France parce qu'il y a d'autres alternatives culturelles comme 3sat qui est un émétteur similaire entre la Suisse, l'Austriche et l'Allemagne.
Personellement, j'adore les émissions comme 'Le dessous des cartes', 'Karambolage' ou des documentaires."
1279,R,"
>>1276>Karambolage
j'adore, tu connais l'emission ""tracks""?
elle passe tard le soir sur arte côté français"
1280,R,"
>>1279>tu connais l'emission ""tracks""?
Je n'ai que vu les publicités sur elle.
Je préfère regarder les emissions sur l'Internet."
1281,R,"
>>1280
https://www.youtube.com/user/TracksARTEvideos 
c'est quoi le regard des allemands sur la question de l'immigration?"
1282,R,"
>>1281
Arte est toujours au courant, lol.>c'est quoi le regard des allemands sur la question de l'immigration?
La majorité pense qu'on doit aider les réfugiés de guerre et que l'immigration est necessaire de contrebalancer le taux de natalité allemand, mais une grande part ne croient pas qu'une integration réussi soit possible dû aux expériences passés. 
Beaucoup de gens sont peureuse en raison des influences futures d'une culture qui ne respecte pas les valeurs démocratique et républicains d'Allemagne actuelle."
