id,type,text
11,T,"
La pédale ennemie du peuple, le Kleenex des juifs, le massacreur de français, 
Le suceur de chibres, l'enculé littéralement par Benalla"
12,R,"
Macron et ses nègres"
13,R,"
Macron et ses nègres bis"
14,R,"
Macron et ses maîtres"
16,R,"
mon soucis"
32,R,"
et son nègre"
43,R,"
>>42"
47,R,"
la HAINE qu'il tente de déchaîner est certainement proportionnelle à son désir de se faire SODOMISER, et c'est ce qui va bientôt se produire à sa grande joie !!!"
1,T,"
""un grand-père juif polonais et une grand-mère juive allemande du côté de son père, un grand-père catholique polonais et une grand-mère catholique française du côté de sa mère. Arrivé dans les années 1920 en France, fuyant l'antisémitisme en Pologne, son arrière-grand-père décide de ""russiser"" leur nom.""
Juif qui parle, bouche qui ment."
2,R,"
sur Cnews"
3,R,"
LES NAZIS M'ONT ENFONCÉ 45 CENTIMÈTRES DE BOIS DANS LE CUL"
33,T,"
contre Lancelin"
34,R,"
en taule"
17,T,"
Le rouage de la mafia juive occupant la 5ième République
https://archive.fo/TtEzq"
18,R,"
Il a décidé comment on blanchirait l'extorsion des biens nationaux.
Soit-disant patron du capitalisme français, a fait Bolloré, Pinault, Arnault, Niel, etc."
19,R,"
Capital. Peine."
4,T,"
Monsieur la Guerre sans l'aimer, mais la guerre tout de même !
« même pris en flagrant délit, [BHL] est fêté par les télés, choyé par les radios, encensé par les journaux. »
« Les chiffres des ventes des deux ouvrages de Bernard-Henri Lévy De la guerre en philosophie et Pièces d'identité, vendus respectivement à 5 500 et 3 500 exemplaires en un mois et demi, malgré un lancement médiatique sans précédent ». 
Il combat les souverainetés nationales et incite les politiciens à embrasser la loi du marché et la mondialisation, arguant que « l'anti-américanisme est une métaphore de l'antisémitisme ». 
Au nom de l'idée du « juif d'affirmation », il incite également les juifs au repli communautaire tout en fustigeant les juifs assimilés
https://fr.wikipedia.org/wiki/Bernard-Henri_L%C3%A9vy
https://democratieparticipative.host/le-monde-diplomatique-appelle-au-pogrom-contre-bernard-henri-levy/
Une telle caricature du Juif ne laisse personne indifférent"
5,R,"
Syrie"
6,R,"
Libye"
7,R,"
Irak"
26,R,"
Evil Juden"
46,R,
40,T,"
alertent des dangers de la youpinerie internationale.
Oui c'était avant 2007. 
Avant que Sarko impose de ramper annuellement au pied du Crif."
44,R,"
Voir aussi :
>>>/dempart/> Blabla général
>>>/1825/> Blabla 18-25 ans
>>>/holocaust/ >lolocaust ;-]
>>>/pol/
>>>/jew/
>>42"
45,R,
27,T,"
clau-clau…"
37,R,"
https://archive.fo/YHMzs> Claude Askolovitch — 26 décembre 2018 : L’affaire des «gilets jaunes» n’est pas une histoire juive; il serait fâcheux qu’elle le devienne."
15,T,"
https://fr.wikipedia.org/wiki/Jacques_Attali"
20,R,"
Internet menace"
21,R,"
Nature ennemi de l'Homme"
22,R,"
terre musulmane"
23,R,"
Trop de pouvoir"
39,T,"
Terroriste juif officiant contre le peuple français. Mauvais comme Iznogoud à la place du Calife président du Crif.
Monsieur Tolérance Zéro. Monsieur ""Ils savent, fermez tout"".
La stupide nouvelle loi de 2019 assimilant anti-sionisme et antisémitisme, la loi Fabius-Kalifat, est son oeuvre.> Antisémitisme : le président du Crif appelle Macron à « appliquer la tolérance zéro » - 18 février 2019
https://archive.fo/0t5Kp
http://www.leparisien.fr/politique/antisemitisme-le-president-du-crif-appelle-macron-a-appliquer-la-tolerance-zero-18-02-2019-8015019.php"
41,R,"
au sujet des gilets jaunes juste avant le dîner du Crif où il exhibera fièrement son golem Macron."
42,R,"
CRIF 2019"
